DATE,CODE,NAME,12m Low,12m High,Day Low,Day High,Day Price,Previous,Change,Change%,Volume
2013-07-10,KCB,KCB Group Plc,33.75,55.5,39.75,41.0,40.25,39.75,0.1,0.00015,537900.0
2013-07-11,KCB,KCB Group Plc,33.75,55.5,40.25,41.0,40.5,40.25,0.15,0.000222,633900.0
2013-07-12,KCB,KCB Group Plc,33.75,55.5,40.5,41.0,40.5,40.5,0.15,0.00021700000000000002,2444000.0
2013-07-15,KCB,KCB Group Plc,33.75,55.5,40.5,40.75,40.5,40.5,0.25,0.00035499999999999996,1263500.0
2013-07-16,KCB,KCB Group Plc,33.75,55.5,40.25,41.25,40.75,40.5,0.1,0.000137,877000.0
2013-07-17,KCB,KCB Group Plc,33.75,55.5,40.75,42.0,41.25,40.75,-0.05,6.8e-05,2289000.0
2013-07-18,KCB,KCB Group Plc,33.75,55.5,41.25,42.25,41.75,41.25,-0.05,6.8e-05,1059500.0
2013-07-19,KCB,KCB Group Plc,33.75,55.5,41.75,42.25,42.0,41.75,-0.05,6.8e-05,994100.0
2013-07-22,KCB,KCB Group Plc,33.75,55.5,42.0,42.25,42.0,42.0,-0.15,0.000207,262900.0
2013-07-23,KCB,KCB Group Plc,33.75,55.5,41.75,42.25,42.0,42.0,-0.1,0.00014099999999999998,921700.0
2013-07-24,KCB,KCB Group Plc,33.75,55.5,41.25,42.75,42.5,42.0,0.05,7.099999999999999e-05,4405400.0
2013-07-25,KCB,KCB Group Plc,33.75,55.5,41.75,42.5,42.25,42.5,0.0,0.0,775600.0
2013-07-26,KCB,KCB Group Plc,33.75,55.5,42.25,43.0,42.5,42.25,0.1,0.00014199999999999998,399300.0
2013-07-29,KCB,KCB Group Plc,33.75,55.5,42.25,43.0,42.75,42.5,0.0,0.0,929000.0
2013-07-30,KCB,KCB Group Plc,33.75,55.5,42.5,43.75,43.0,42.75,0.1,0.00014,2302700.0
2013-07-31,KCB,KCB Group Plc,33.75,55.5,42.5,43.25,42.75,43.0,0.0,0.0,2470100.0
2013-08-01,KCB,KCB Group Plc,33.75,55.5,42.5,42.75,42.5,42.75,0.0,0.0,855700.0
2013-08-02,KCB,KCB Group Plc,33.75,55.5,42.25,43.0,42.5,42.5,0.0,0.0,1703400.0
2013-08-05,KCB,KCB Group Plc,33.75,55.5,42.25,43.25,42.75,42.5,0.05,6.9e-05,1526200.0
2013-08-06,KCB,KCB Group Plc,33.75,55.5,42.5,43.5,43.25,42.75,0.0,0.0,2268000.0
2013-08-07,KCB,KCB Group Plc,33.75,55.5,43.0,44.0,43.75,43.25,0.1,0.000137,2249400.0
2013-08-08,KCB,KCB Group Plc,33.75,55.5,43.5,44.25,43.75,43.75,0.3,0.00040500000000000003,3282500.0
2013-08-12,KCB,KCB Group Plc,33.75,55.5,44.0,44.5,44.25,43.75,0.15,0.000195,425500.0
2013-08-13,KCB,KCB Group Plc,33.75,55.5,44.0,44.5,44.25,44.25,-0.2,0.00025499999999999996,1869300.0
2013-08-14,KCB,KCB Group Plc,33.75,55.5,44.0,44.75,44.25,44.25,0.1,0.000131,686600.0
2013-08-15,KCB,KCB Group Plc,33.75,55.5,44.0,44.75,44.25,44.25,0.15,0.000194,482900.0
2013-08-16,KCB,KCB Group Plc,33.75,55.5,44.25,45.5,45.0,44.25,0.15,0.00018999999999999998,11195700.0
2013-08-19,KCB,KCB Group Plc,33.75,55.5,44.25,45.5,44.75,45.0,0.1,0.000124,2997900.0
2013-08-20,KCB,KCB Group Plc,33.75,55.5,44.75,45.5,44.75,44.75,0.05,6.099999999999999e-05,925200.0
2013-08-21,KCB,KCB Group Plc,33.75,55.5,44.5,45.0,44.75,44.75,-0.15,0.000183,6030700.0
2013-08-22,KCB,KCB Group Plc,33.75,55.5,44.75,45.0,44.75,44.75,-0.1,0.000124,5259300.0
2013-08-23,KCB,KCB Group Plc,33.75,55.5,44.75,45.5,45.0,44.75,-0.05,6.3e-05,2004000.0
2013-08-26,KCB,KCB Group Plc,33.75,55.5,44.5,45.25,44.75,45.0,0.0,0.0,2014200.0
2013-08-27,KCB,KCB Group Plc,33.75,55.5,43.75,45.0,44.5,44.75,-0.15,0.00018999999999999998,954800.0
2013-08-28,KCB,KCB Group Plc,33.75,55.5,42.5,44.0,43.0,44.5,-0.25,0.00032300000000000004,2263200.0
2013-08-29,KCB,KCB Group Plc,33.75,55.5,42.25,43.0,42.75,43.0,0.15,0.0002,4342900.0
2013-08-30,KCB,KCB Group Plc,33.75,55.5,41.25,42.75,42.0,42.75,0.0,0.0,2830000.0
2013-09-02,KCB,KCB Group Plc,33.75,55.5,41.75,42.25,42.0,42.0,0.0,0.0,791400.0
2013-09-03,KCB,KCB Group Plc,33.75,55.5,42.0,42.75,42.25,42.0,0.1,0.000131,1114000.0
