Day Price,12m Low,12m High,Day Low,Day High,Previous,Volume_log,MA_5,STD_5,MA_12,STD_12,MA_50,STD_50,MA_200,STD_200,MA_5_vs_MA_50,MA_12_vs_MA_200,HighVol_5_vs_50,Daily_Range
6.0,23.5,33.5,5.95,6.2,5.95,15.751485948902307,5.87,0.09746794344809866,5.970833333333332,0.17117021476950367,5.731,0.2428340325138513,5.688524590163935,0.25729254468777807,1,1,0,0.25
6.0,23.5,33.5,6.0,6.5,6.0,17.819904901756765,5.909999999999999,0.1024695076596058,5.949999999999999,0.1477097891751853,5.736000000000001,0.24578902517801435,5.693548387096774,0.2582227833035414,1,1,0,0.5
6.15,23.5,33.5,6.05,6.25,6.0,14.725501890217695,5.98,0.12549900398012143,5.9375,0.11894421916479735,5.744,0.25266740258001213,5.70079365079365,0.2625083813549916,1,1,0,0.20000000000000018
6.25,23.5,33.5,6.15,6.4,6.15,16.237069177698903,6.07,0.12549900398012426,5.95,0.14301938838682451,5.754,0.2626085781274513,5.709375,0.26931350115573777,1,1,0,0.25
6.3,23.5,33.5,6.25,6.4,6.25,16.00360480260137,6.14,0.13874436925512976,5.979166666666667,0.1751081916641088,5.7669999999999995,0.273228991200883,5.718461538461538,0.27706176414988365,1,1,0,0.15000000000000036
6.35,23.5,33.5,6.3,6.4,6.3,14.580792801486139,6.21,0.13874436925513148,6.012499999999999,0.20463381929679902,5.782,0.2842390485747743,5.7280303030303035,0.28570140247344067,1,1,0,0.10000000000000053
6.4,23.5,33.5,6.35,6.6,6.35,17.24486449704616,6.29,0.09617692030838185,6.05,0.23159525823375177,5.797999999999999,0.29605570352863597,5.738059701492537,0.29517451851697374,1,1,0,0.25
6.5,23.5,33.5,6.5,6.6,6.4,16.076262833228377,6.36,0.09617692030838434,6.108333333333333,0.25030284687056376,5.816999999999999,0.309972019803761,5.749264705882353,0.3071890670496544,1,1,0,0.09999999999999964
6.5,23.5,33.5,6.3,6.55,6.5,16.29968368879301,6.409999999999999,0.0894427191000227,6.166666666666667,0.2534608929251556,5.8389999999999995,0.3186851174460947,5.760144927536231,0.31803390844754365,1,1,0,0.25
6.4,23.5,33.5,6.35,6.5,6.5,15.548757932834311,6.43,0.06708203932503565,6.216666666666668,0.23290003057624656,5.861000000000001,0.3186851174460943,5.769285714285715,0.3248514551435811,1,1,0,0.15000000000000036
6.4,23.5,33.5,6.3,6.5,6.4,16.420434855912454,6.44,0.05477225575056804,6.266666666666667,0.19694638556691146,5.882999999999999,0.31713159568165056,5.778169014084507,0.3310947635567916,1,1,0,0.20000000000000018
6.45,23.5,33.5,6.45,6.6,6.4,17.386819169532277,6.45,0.05000000000005674,6.308333333333334,0.17559422921418752,5.903,0.32077870813355824,5.7875,0.33815468583075275,1,1,0,0.14999999999999947
6.55,23.5,33.5,6.55,6.65,6.45,17.366864969725682,6.459999999999999,0.06519202405207028,6.354166666666667,0.15877132402711794,5.9239999999999995,0.3281425772745831,5.7979452054794525,0.34745486878837684,1,1,0,0.10000000000000053
6.6,23.5,33.5,6.55,6.65,6.55,16.58808684262671,6.4799999999999995,0.09082951062295666,6.404166666666668,0.1287321626360708,5.947,0.3344825427859707,5.808783783783784,0.3574412594818996,1,1,0,0.10000000000000053
6.6,23.5,33.5,6.55,6.65,6.6,16.53536422329202,6.5200000000000005,0.09082951062295785,6.441666666666666,0.11247895426036258,5.971,0.337471087196925,5.819333333333333,0.3665851670276416,1,1,0,0.10000000000000053
6.6,23.5,33.5,6.6,6.7,6.6,16.393877268049582,6.56,0.06519202405207446,6.470833333333332,0.10326121628117696,5.995,0.33870250627224285,5.8296052631578945,0.3749824557299479,1,1,0,0.10000000000000053
6.6,23.5,33.5,6.6,6.7,6.6,16.48037493122568,6.589999999999999,0.022360679775141952,6.495833333333334,0.09404624909950374,6.019,0.33819599437639897,5.83961038961039,0.38271344769752935,1,1,0,0.10000000000000053
